player,elo,hElo,cElo,gElo
Eduardo Ribeiro,1423.4,1290.2,1415.8,1411.7
Maks Kasnikowski,1422.3,1379.8,1464.3,1461.2
Alex Martinez,1421.8,1364.9,1401.3,1410.9
Matteo Martineau,1418.0,1398.8,1355.7,1391.3
Bernabe Zapata Miralles,1416.1,1367.7,1411.3,1425.0
Alexey Vatutin,1415.2,1382.0,1373.8,1371.6
James Trotter,1414.2,1380.4,1356.3,1384.9
Daniel Masur,1413.4,1382.5,1387.3,1402.2
Juan Bautista Torres,1413.2,1308.6,1401.1,1406.6
Hady Habib,1411.6,1364.1,1435.4,1431.0
Marek Gengel,1410.6,1377.3,1260.0,1364.9
Tom Paris,1409.9,1372.2,1358.3,1405.0
Henry Bernet,1409.9,1335.0,1401.9,1404.9
Tibo Colson,1408.7,1351.6,1352.5,1404.4
Michael Geerts,1408.1,1387.2,1352.0,1347.7
Denis Yevseyev,1403.7,1387.4,1371.9,1411.7
Dali Blanch,1403.2,1218.7,1416.4,1401.6
Hernan Casanova,1402.4,1267.4,1386.2,1370.4
Alastair Gray,1401.2,1365.3,1310.6,1369.2
Daniel Michalski,1399.4,1408.0,1343.3,1449.7
Hayato Matsuoka,1397.6,1369.3,1308.8,1398.8
Quinn Vandecasteele,1397.2,1375.1,1308.6,1381.7
Florent Bax,1396.9,1385.9,1328.4,1398.4
Robin Bertrand,1393.4,1366.9,1299.5,1396.7
Tyler Zink,1392.4,1362.3,1312.4,1411.0
Jakub Paul,1389.2,1340.1,1347.6,1394.6
Ioannis Xilas,1388.6,1362.3,1444.3,1444.3
Petr Bar Biryukov,1387.9,1370.3,1329.4,1393.9
Milos Karol,1387.8,1330.6,1353.4,1393.9
Rudolf Molleker,1386.8,1340.8,1381.9,1362.7
Sergio Callejon Hernando,1386.2,1327.3,1364.2,1393.1
Philip Henning,1385.7,1364.9,1350.4,1442.9
Dmitry Popko,1385.2,1399.6,1334.0,1322.8
Giles Hussey,1384.1,1349.9,1302.0,1354.1
Samir Banerjee,1383.9,1361.0,1302.0,1392.0
Akira Santillan,1383.1,1342.9,1353.0,1350.2
Edward Winter,1381.4,1345.4,1300.7,1418.2
Khumoun Sultanov,1379.1,1367.1,1277.7,1400.2
Patrick Zahraj,1377.2,1376.1,1281.8,1399.0
Murkel Alejandro Dellien Velasco,1376.7,1356.3,1366.5,1367.2
Alfredo Perez,1371.6,1333.4,1379.7,1385.8
Kaichi Uchida,1370.5,1340.8,1318.7,1397.9
Matheus Pucinelli De Almeida,1370.4,1249.5,1365.6,1386.1
Stefan Palosi,1368.8,1294.4,1354.7,1384.4
Alexander Donski,1368.1,1372.7,1351.8,1434.0
Hiroki Moriya,1367.3,1334.4,1262.1,1360.9
