player,surface,period,spw,rpw,matches
Sonay Kartal,hard,career,0.6000,0.4400,33
Sonay Kartal,clay,career,0.5600,0.4160,7
Sonay Kartal,grass,career,0.5780,0.4170,17
Sonay Kartal,all,career,0.5885,0.4302,57
Karolina Pliskova,hard,52week,0.5750,0.4240,7
Karolina Pliskova,clay,52week,0.5950,0.4160,12
Karolina Pliskova,grass,52week,0.5780,0.4160,9
Karolina Pliskova,all,52week,0.5845,0.4180,28
Karolina Pliskova,hard,career,0.6080,0.4260,460
Karolina Pliskova,clay,career,0.5930,0.4190,141
Karolina Pliskova,grass,career,0.6230,0.4120,89
Karolina Pliskova,all,career,0.6069,0.4228,690
Jelena Ostapenko,hard,52week,0.5500,0.4290,25
Jelena Ostapenko,clay,52week,0.5560,0.4770,12
Jelena Ostapenko,grass,52week,0.6030,0.4760,8
Jelena Ostapenko,all,52week,0.5610,0.4502,45
Jelena Ostapenko,hard,career,0.5520,0.4560,338
Jelena Ostapenko,clay,career,0.5510,0.4680,118
Jelena Ostapenko,grass,career,0.5900,0.4620,82
Jelena Ostapenko,all,career,0.5576,0.4595,538
Ekaterina Alexandrova,hard,52week,0.5980,0.4330,40
Ekaterina Alexandrova,clay,52week,0.5690,0.4340,9
Ekaterina Alexandrova,grass,52week,0.6000,0.4360,13
Ekaterina Alexandrova,all,52week,0.5942,0.4338,62
Ekaterina Alexandrova,hard,career,0.5880,0.4350,275
Ekaterina Alexandrova,clay,career,0.5710,0.4440,100
Ekaterina Alexandrova,grass,career,0.6160,0.4260,66
Ekaterina Alexandrova,all,career,0.5883,0.4357,441
Katerina Siniakova,hard,52week,0.5630,0.4480,26
Katerina Siniakova,clay,52week,0.5810,0.4710,8
Katerina Siniakova,grass,52week,0.5920,0.3730,7
Katerina Siniakova,all,52week,0.5715,0.4397,41
Katerina Siniakova,hard,career,0.5500,0.4450,293
Katerina Siniakova,clay,career,0.5540,0.4500,121
Katerina Siniakova,grass,career,0.5810,0.4200,62
Katerina Siniakova,all,career,0.5551,0.4430,476
Hailey Baptiste,hard,52week,0.5880,0.4080,29
Hailey Baptiste,clay,52week,0.6150,0.4200,16
Hailey Baptiste,grass,52week,0.6000,0.3980,3
Hailey Baptiste,all,52week,0.5978,0.4114,48
Hailey Baptiste,hard,career,0.5840,0.4040,74
Hailey Baptiste,clay,career,0.5970,0.4160,39
Hailey Baptiste,grass,career,0.6130,0.3830,4
Hailey Baptiste,all,career,0.5893,0.4073,117
Qinwen Zheng,hard,52week,0.6200,0.4110,12
Qinwen Zheng,clay,52week,0.6150,0.4030,6
Qinwen Zheng,grass,52week,0.6720,0.3220,6
Qinwen Zheng,all,52week,0.6317,0.3867,24
Qinwen Zheng,hard,career,0.6120,0.4240,134
Qinwen Zheng,clay,career,0.5980,0.4570,67
Qinwen Zheng,grass,career,0.6150,0.3630,21
Qinwen Zheng,all,career,0.6081,0.4282,222
Elena Gabriela Ruse,hard,52week,0.5380,0.4080,17
Elena Gabriela Ruse,clay,52week,0.5290,0.4570,9
Elena Gabriela Ruse,grass,52week,0.6230,0.4180,8
Elena Gabriela Ruse,all,52week,0.5556,0.4233,34
Elena Gabriela Ruse,hard,career,0.5340,0.4370,69
Elena Gabriela Ruse,clay,career,0.5440,0.4560,50
Elena Gabriela Ruse,grass,career,0.5690,0.4260,25
Elena Gabriela Ruse,all,career,0.5435,0.4417,144
Veronika Kudermetova,hard,52week,0.5920,0.4120,34
Veronika Kudermetova,clay,52week,0.5650,0.4600,12
Veronika Kudermetova,grass,52week,0.6010,0.4260,6
Veronika Kudermetova,all,52week,0.5868,0.4247,52
Veronika Kudermetova,hard,career,0.5900,0.4200,220
Veronika Kudermetova,clay,career,0.5700,0.4430,86
Veronika Kudermetova,grass,career,0.6060,0.4130,44
Veronika Kudermetova,all,career,0.5871,0.4248,350
Emma Raducanu,hard,52week,0.5780,0.4410,32
