player,surface,period,spw,rpw,matches
Alexander Blockx,hard,52week,0.6760,0.3600,11
Alexander Blockx,clay,52week,0.6540,0.3590,22
Alexander Blockx,grass,52week,0.6950,0.2300,1
Alexander Blockx,all,52week,0.6623,0.3555,34
Alexander Blockx,hard,career,0.6590,0.3500,16
Alexander Blockx,clay,career,0.6540,0.3590,22
Alexander Blockx,grass,career,0.6740,0.3150,2
Alexander Blockx,all,career,0.6570,0.3532,40
Raphael Collignon,hard,52week,0.6510,0.3460,21
Raphael Collignon,clay,52week,0.6480,0.3300,13
Raphael Collignon,grass,52week,0.6780,0.2750,5
Raphael Collignon,all,52week,0.6535,0.3316,39
Raphael Collignon,hard,career,0.6460,0.3350,25
Raphael Collignon,clay,career,0.6250,0.3550,18
Raphael Collignon,grass,career,0.6630,0.2740,6
Raphael Collignon,all,career,0.6404,0.3349,49
Valentin Vacherot,hard,52week,0.6900,0.3350,32
Valentin Vacherot,clay,52week,0.6520,0.3750,11
Valentin Vacherot,all,52week,0.6803,0.3452,43
Valentin Vacherot,hard,career,0.6900,0.3350,34
Valentin Vacherot,clay,career,0.6260,0.3780,24
Valentin Vacherot,all,career,0.6635,0.3528,58
Stefanos Tsitsipas,hard,52week,0.6770,0.3520,27
Stefanos Tsitsipas,clay,52week,0.6910,0.3340,16
Stefanos Tsitsipas,grass,52week,0.6880,0.3090,3
Stefanos Tsitsipas,all,52week,0.6826,0.3429,46
Stefanos Tsitsipas,hard,career,0.6850,0.3480,365
Stefanos Tsitsipas,clay,career,0.6670,0.3890,177
Stefanos Tsitsipas,grass,career,0.6930,0.3240,45
Stefanos Tsitsipas,all,career,0.6802,0.3585,587
Tomas Machac,hard,52week,0.6400,0.3400,24
Tomas Machac,clay,52week,0.6060,0.3750,14
Tomas Machac,grass,52week,0.6800,0.3580,5
Tomas Machac,all,52week,0.6336,0.3535,43
Tomas Machac,hard,career,0.6480,0.3610,109
Tomas Machac,clay,career,0.5980,0.3990,39
Tomas Machac,grass,career,0.6150,0.3670,9
Tomas Machac,all,career,0.6337,0.3708,157
Lorenzo Musetti,hard,52week,0.6710,0.3810,43
Lorenzo Musetti,clay,52week,0.6190,0.3580,10
Lorenzo Musetti,all,52week,0.6612,0.3767,53
Lorenzo Musetti,hard,career,0.6420,0.3670,178
Lorenzo Musetti,clay,career,0.6240,0.4070,123
Lorenzo Musetti,grass,career,0.6600,0.3550,29
Lorenzo Musetti,all,career,0.6369,0.3809,330
Ugo Humbert,hard,52week,0.6830,0.3290,36
Ugo Humbert,clay,52week,0.6090,0.3570,10
Ugo Humbert,grass,52week,0.6760,0.3490,12
Ugo Humbert,all,52week,0.6688,0.3380,58
Ugo Humbert,hard,career,0.6670,0.3490,234
Ugo Humbert,clay,career,0.6090,0.3710,59
Ugo Humbert,grass,career,0.6650,0.3550,65
Ugo Humbert,all,career,0.6571,0.3537,358
Luciano Darderi,hard,52week,0.6240,0.3440,24
Luciano Darderi,clay,52week,0.6340,0.3990,34
Luciano Darderi,grass,52week,0.6180,0.2630,3
Luciano Darderi,all,52week,0.6293,0.3707,61
Luciano Darderi,hard,career,0.6130,0.3280,45
Luciano Darderi,clay,career,0.6380,0.3950,96
Luciano Darderi,grass,career,0.6410,0.3310,14
Luciano Darderi,all,career,0.6310,0.3698,155
Matteo Berrettini,hard,52week,0.6800,0.3170,21
Matteo Berrettini,clay,52week,0.6490,0.3690,17
Matteo Berrettini,grass,52week,0.7170,0.2870,3
Matteo Berrettini,all,52week,0.6699,0.3364,41
Matteo Berrettini,hard,career,0.6850,0.3380,188
Matteo Berrettini,clay,career,0.6820,0.3700,109
Matteo Berrettini,grass,career,0.7110,0.3360,57
Matteo Berrettini,all,career,0.6883,0.3475,354
Alex Michelsen,hard,52week,0.6490,0.3600,35
Alex Michelsen,clay,52week,0.6010,0.3810,12
Alex Michelsen,grass,52week,0.5890,0.3690,1
Alex Michelsen,all,52week,0.6357,0.3654,48
Alex Michelsen,hard,career,0.6400,0.3680,113
Alex Michelsen,clay,career,0.5840,0.3670,28
Alex Michelsen,grass,career,0.6650,0.3470,26
Alex Michelsen,all,career,0.6345,0.3646,167
Karen Khachanov,hard,52week,0.6720,0.3490,27
Karen Khachanov,clay,52week,0.6510,0.3640,13
Karen Khachanov,grass,52week,0.6850,0.3870,4
Karen Khachanov,all,52week,0.6670,0.3569,44
Karen Khachanov,hard,career,0.6640,0.3650,369
Karen Khachanov,clay,career,0.6320,0.3850,146
Karen Khachanov,grass,career,0.6690,0.3470,54
Karen Khachanov,all,career,0.6563,0.3684,569
Dino Prizmic,hard,52week,0.6430,0.3270,11
Dino Prizmic,clay,52week,0.6420,0.3970,20
Dino Prizmic,grass,52week,0.6770,0.2960,2
Dino Prizmic,all,52week,0.6445,0.3675,33
Dino Prizmic,hard,career,0.6160,0.3510,18
Dino Prizmic,clay,career,0.6330,0.4010,25
Dino Prizmic,grass,career,0.6770,0.2960,2
Dino Prizmic,all,career,0.6282,0.3763,45
Brandon Nakashima,hard,52week,0.6800,0.3310,38
Brandon Nakashima,clay,52week,0.6440,0.3770,10
Brandon Nakashima,grass,52week,0.6830,0.3750,6
Brandon Nakashima,all,52week,0.6737,0.3444,54
Brandon Nakashima,hard,career,0.6790,0.3450,188
Brandon Nakashima,clay,career,0.6340,0.3750,46
Brandon Nakashima,grass,career,0.6910,0.3430,41
Brandon Nakashima,all,career,0.6733,0.3497,275
Jack Draper,hard,52week,0.7020,0.3340,11
Jack Draper,clay,52week,0.5220,0.3210,1
Jack Draper,grass,52week,0.7220,0.3760,4
Jack Draper,all,52week,0.6957,0.3437,16
Jack Draper,hard,career,0.6660,0.3810,115
Jack Draper,clay,career,0.6500,0.3870,35
Jack Draper,grass,career,0.6930,0.3530,32
Jack Draper,all,career,0.6677,0.3772,182
Hubert Hurkacz,hard,52week,0.6950,0.2980,13
Hubert Hurkacz,clay,52week,0.6860,0.3840,8
Hubert Hurkacz,grass,52week,0.7010,0.3320,7
Hubert Hurkacz,all,52week,0.6939,0.3311,28
Hubert Hurkacz,hard,career,0.6770,0.3480,272
Hubert Hurkacz,clay,career,0.6600,0.3610,85
Hubert Hurkacz,grass,career,0.7030,0.3290,48
Hubert Hurkacz,all,career,0.6765,0.3485,405
Hamad Medjedovic,hard,52week,0.6510,0.3320,21
Hamad Medjedovic,clay,52week,0.6270,0.3720,11
Hamad Medjedovic,grass,52week,0.6700,0.3080,3
Hamad Medjedovic,all,52week,0.6451,0.3425,35
Hamad Medjedovic,hard,career,0.6750,0.3380,49
Hamad Medjedovic,clay,career,0.6170,0.3660,36
Hamad Medjedovic,grass,career,0.6680,0.3130,10
Hamad Medjedovic,all,career,0.6523,0.3460,95
Zizou Bergs,hard,52week,0.6410,0.3530,34
Zizou Bergs,clay,52week,0.6190,0.3630,8
Zizou Bergs,grass,52week,0.6500,0.3960,10
Zizou Bergs,all,52week,0.6393,0.3628,52
Zizou Bergs,hard,career,0.6430,0.3570,99
Zizou Bergs,clay,career,0.6210,0.3710,29
Zizou Bergs,grass,career,0.6430,0.3690,22
Zizou Bergs,all,career,0.6387,0.3615,150
Cameron Norrie,hard,52week,0.6610,0.3640,41
